"ControlId","Title","Description","Family","Notes"
"V-260333","Entra ID must limit privileges by requiring admin accounts are cloud-only","Administrative accounts that are synced from on-premises Active Directory introduce risk because the on-premises environment could be compromised, leading to a cloud compromise. Admin accounts must be cloud-only to ensure the cloud environment is not dependent on potentially compromised on-premises infrastructure.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260334","Entra ID must limit emergency admin accounts to two","Emergency accounts are administrator accounts established in response to crisis situations where the need for immediate administrative access is required. Conditions for emergency account activation are outlined in the organization contingency plan. Limiting the number of emergency accounts reduces the attack surface.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260335","Entra ID must limit global admin role membership to 2-4 users","The Global Administrator role has full access to all administrative features in Azure AD and services that use Azure AD identities. Limiting global admin role assignments to between 2 and 4 users reduces the risk of compromise while ensuring coverage for administrative operations.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260336","Entra ID must use Privileged Identity Management for role management","Without using Privileged Identity Management (PIM), there is increased risk of a permanent privileged role assignment being compromised. PIM enables just-in-time role activation, requiring users to activate roles only when needed and with time-limited access, reducing the attack surface.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260337","Entra ID must require multifactor authentication for all users","Without the use of multifactor authentication (MFA), the ease of access to privileged and non-privileged functions is greatly increased. MFA provides an additional layer of security beyond passwords, significantly reducing the risk of unauthorized access through credential theft or compromise.","Microsoft Entra ID","CAT I - High; STIG: Microsoft Entra ID V1R1"
"V-260338","Entra ID must block legacy authentication protocols","Legacy authentication protocols such as POP, SMTP, IMAP, and MAPI do not support modern multifactor authentication. These protocols are frequently used as entry points by attackers. Blocking legacy authentication forces users to adopt modern authentication methods that support MFA.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260339","Entra ID must require phishing-resistant MFA for privileged role administrators","Privileged accounts are high-value targets for attackers. Phishing-resistant MFA methods such as FIDO2 security keys or Windows Hello for Business provide the highest level of authentication assurance for administrative accounts, protecting against sophisticated phishing attacks.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260340","Entra ID must enable sign-in risk-based conditional access policies","Sign-in risk policies use Azure AD Identity Protection to evaluate the risk level of each authentication attempt. Risky sign-ins from unfamiliar locations, anonymous IP addresses, or malware-linked IPs can be automatically blocked or require additional verification to prevent unauthorized access.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260341","Entra ID must enable user risk-based conditional access policies","User risk policies use Azure AD Identity Protection to detect compromised user accounts. When a user account is determined to be at risk due to leaked credentials or suspicious behavior, the policy can require password changes or block access until the risk is remediated.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-260342","Entra ID must restrict guest user access permissions","Guest users represent external identities granted access to the tenant. By default, guest users may have overly permissive access to directory information. Restricting guest user access ensures external users cannot enumerate users, groups, or other directory objects, reducing the risk of data exposure.","Microsoft Entra ID","CAT II - Medium; STIG: Microsoft Entra ID V1R1"
"V-223280","Macros must be blocked from running in Access files from the Internet","Macros in Access files obtained from the Internet could contain malicious code. Blocking macro execution from Internet-sourced files protects users from running untrusted code.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223281","Trust Bar Notifications for unsigned application add-ins in Access must be disabled and blocked","Unsigned application add-ins may contain malicious code. Disabling Trust Bar notifications and blocking unsigned add-ins prevents users from inadvertently enabling unsafe code.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223282","VBA macros not digitally signed must be blocked in Access","Without requiring digital signatures, malicious macros could be executed without user awareness. Blocking unsigned VBA macros ensures only trusted, signed code can run.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
