CisControl,CisTitle,NistCsf,Nist80053,Iso27001,Stig,PciDss,Cmmc,Hipaa,CisaScuba
1.1.1,"Ensure Administrative accounts are cloud-only",PR.AA-03;PR.AA-05,AC-6(5);AC-2,A.5.15;A.5.18;A.8.2,V-260333,8.2.x;2.2.x,3.1.5;3.1.6;3.1.1,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.4v1
1.1.2,"Ensure two emergency access accounts have been defined",PR.AA-01;PR.AA-05,AC-2;AC-2(2),A.5.16;A.5.18;A.8.2,V-260334,8.2.x;8.6.x,3.1.1,§164.312(a)(1);§164.308(a)(7)(i),
1.1.3,"Ensure that between two and four global admins are designated",PR.AA-05,AC-6(5),A.5.15;A.8.2,V-260335,8.2.x,3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.1v1
1.1.4,"Ensure administrative accounts use licenses with a reduced application footprint",PR.AA-05;PR.PS-01,AC-6;AC-6(5),A.5.15;A.8.2,,8.2.x;2.2.x,3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),
1.2.1,"Ensure that only organizationally managed/approved public groups exist",PR.AA-05,AC-6(10);CM-5,A.5.15;A.8.2,,2.2.x,3.1.1;3.4.5,§164.312(a)(1);§164.308(a)(4)(i),
1.2.2,"Ensure sign-in to shared mailboxes is blocked",PR.AA-03;PR.AA-05,AC-2;AC-3,A.5.15;A.5.18;A.8.2,,8.2.x;2.2.x,3.1.1;3.1.2,§164.312(a)(1);§164.312(a)(2)(i),
1.3.1,"Ensure the 'Password expiration policy' is set to 'Set passwords to never expire'",PR.AA-01,IA-5(1),A.5.17,,8.3.x,3.5.7;3.5.8,§164.308(a)(5)(ii)(D),MS.AAD.6.1v1
1.3.2,"Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices",PR.AA-05,AC-11;AC-12,A.8.1,,8.2.x,3.1.10,§164.312(a)(2)(iii),
1.3.3,"Ensure 'External sharing' of calendars is not available",PR.AA-05;PR.DS-01,AC-3;SC-7(10),A.5.15;A.8.3,,2.2.x,3.1.22;3.13.1,§164.312(a)(1),
1.3.4,"Ensure 'User owned apps and services' is restricted",PR.AA-05,CM-7;CM-11,A.8.19;A.8.26,,2.2.x,3.4.6;3.4.9,§164.312(a)(1),
1.3.5,"Ensure internal phishing protection for Forms is enabled",DE.CM-09,SI-8,A.8.23,,5.4.x,3.14.5,§164.308(a)(5)(ii)(B),
1.3.6,"Ensure the customer lockbox feature is enabled",PR.AA-05;GV.SC-05,AC-3;AC-6,A.5.15;A.5.19,,2.2.x,3.1.1;3.1.2,§164.312(a)(1);§164.308(a)(4)(i),
1.3.7,"Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'",PR.DS-01;PR.AA-05,CM-7;SC-7(10),A.8.19;A.8.26,,2.2.x,3.4.6;3.13.1,§164.312(a)(1),
1.3.8,"Ensure that Sways cannot be shared with people outside of your organization",PR.DS-01,AC-3;SC-7(10),A.5.15;A.8.3,,2.2.x,3.1.22;3.13.1,§164.312(a)(1),
1.3.9,"Ensure shared bookings pages are restricted to select users",PR.AA-05,AC-3;AC-6,A.5.15;A.8.3,,2.2.x;7.2.x,3.1.1;3.1.2,§164.312(a)(1),
2.1.1,"Ensure Safe Links for Office Applications is Enabled",DE.CM-09,CM-6a;SI-3a;SI-8,A.8.7;A.8.23,,5.2.x;5.3.x,3.14.2;3.14.5,§164.308(a)(5)(ii)(B),MS.EXO.15.1v1;MS.EXO.15.2v1;MS.EXO.15.3v1
