"ControlId","Title","Description","Family","Notes"
"GV.OC-01","Organizational Mission","The organizational mission is understood and informs cybersecurity risk management","Govern","Organizational Context"
"GV.OC-02","Internal Stakeholders","Internal stakeholders understand and contribute to cybersecurity risk management","Govern","Organizational Context"
"GV.OC-03","Legal and Regulatory Requirements","Legal, regulatory, and contractual requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","Govern","Organizational Context"
"GV.OC-04","Critical Objectives","Critical objectives, capabilities, and services that external stakeholders depend on or expect are understood and communicated","Govern","Organizational Context"
"GV.OC-05","Risk Management Outcomes","Outcomes, capabilities, and services that the organization depends on are understood and communicated","Govern","Organizational Context"
"GV.RM-01","Risk Management Objectives","Risk management objectives are established and agreed to by organizational stakeholders","Govern","Risk Management Strategy"
"GV.RM-02","Risk Appetite and Tolerance","Risk appetite and risk tolerance statements are established, communicated, and maintained","Govern","Risk Management Strategy"
"GV.RM-03","Risk Management Activities","Cybersecurity risk management activities and outcomes are included in enterprise risk management processes","Govern","Risk Management Strategy"
"GV.RM-04","Risk Direction","Strategic direction that describes appropriate risk response options is established and communicated","Govern","Risk Management Strategy"
"GV.RM-05","Communication Lines","Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties","Govern","Risk Management Strategy"
"GV.RM-06","Risk Prioritization","A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated","Govern","Risk Management Strategy"
"GV.RM-07","Strategic Opportunities","Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions","Govern","Risk Management Strategy"
"GV.RR-01","Leadership Accountability","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving","Govern","Roles, Responsibilities, and Authorities"
"GV.RR-02","Roles and Responsibilities","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced","Govern","Roles, Responsibilities, and Authorities"
"GV.RR-03","Adequate Resources","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies","Govern","Roles, Responsibilities, and Authorities"
"GV.RR-04","Cybersecurity in HR","Cybersecurity is included in human resources practices","Govern","Roles, Responsibilities, and Authorities"
"GV.PO-01","Cybersecurity Policy","A policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Govern","Policy"
"GV.PO-02","Policy Review","Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","Govern","Policy"
"GV.OV-01","Risk Management Strategy Review","Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction","Govern","Oversight"
"GV.OV-02","Risk Management Strategy Adjustment","The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks","Govern","Oversight"
"GV.OV-03","Performance Evaluation","Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed","Govern","Oversight"
"GV.SC-01","Supply Chain Risk Program","A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-02","Supplier Requirements","Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-03","Supply Chain Integration","Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-04","Supplier Assessments","Suppliers are known and prioritized by criticality","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-05","Supply Chain Requirements","Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-06","Supplier Due Diligence","Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-07","Supply Chain Risk Monitoring","The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-08","Supplier Security Practices","Relevant suppliers and other third parties are included in incident planning, response, and recovery activities","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-09","Supply Chain Resilience","Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle","Govern","Cybersecurity Supply Chain Risk Management"
"GV.SC-10","Post-Relationship Activities","Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement","Govern","Cybersecurity Supply Chain Risk Management"
"ID.AM-01","Hardware Inventory","Inventories of hardware managed by the organization are maintained","Identify","Asset Management"
"ID.AM-02","Software Inventory","Inventories of software, services, and systems managed by the organization are maintained","Identify","Asset Management"
"ID.AM-03","Network Communication","Representations of the organization's authorized network communication and internal and external network data flows are maintained","Identify","Asset Management"
"ID.AM-04","External Services","Inventories of services provided by suppliers are maintained","Identify","Asset Management"
"ID.AM-05","Asset Prioritization","Assets are prioritized based on classification, criticality, resources, and impact on the mission","Identify","Asset Management"
"ID.AM-07","Data Inventory","Inventories of data and corresponding metadata for designated data types are maintained","Identify","Asset Management"
"ID.AM-08","System Lifecycle","Systems, hardware, software, services, and data are managed throughout their life cycles","Identify","Asset Management"
"ID.RA-01","Vulnerability Identification","Vulnerabilities in assets are identified, validated, and recorded","Identify","Risk Assessment"
"ID.RA-02","Threat Intelligence","Cyber threat intelligence is received from information sharing forums and sources","Identify","Risk Assessment"
"ID.RA-03","Threat Identification","Internal and external threats to the organization are identified and recorded","Identify","Risk Assessment"
"ID.RA-04","Impact Analysis","Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded","Identify","Risk Assessment"
"ID.RA-05","Risk Prioritization","Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization","Identify","Risk Assessment"
"ID.RA-06","Risk Responses","Risk responses are chosen, prioritized, planned, tracked, and communicated","Identify","Risk Assessment"
"ID.RA-07","Risk Change Management","Changes and exceptions are managed, assessed for risk impact, recorded, and tracked","Identify","Risk Assessment"
"ID.RA-08","Vulnerability Disclosure","Processes for receiving, analyzing, and responding to vulnerability disclosures are established","Identify","Risk Assessment"
"ID.RA-09","Hardware and Software Integrity","The authenticity and integrity of hardware and software are assessed prior to acquisition and use","Identify","Risk Assessment"
"ID.RA-10","Critical Supplier Assessment","Critical suppliers are assessed prior to acquisition","Identify","Risk Assessment"
"ID.IM-01","Improvement Identification","Improvements are identified from evaluations","Identify","Improvement"
"ID.IM-02","Improvement from Testing","Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties","Identify","Improvement"
"ID.IM-03","Improvement from Incidents","Improvements are identified from execution of operational processes, procedures, and activities","Identify","Improvement"
"ID.IM-04","Improvement Plans","Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved","Identify","Improvement"
"PR.AA-01","Identity Management","Identities and credentials for authorized users, services, and hardware are managed by the organization","Protect","Identity Management, Authentication, and Access Control"
"PR.AA-02","Identity Proofing","Identities are proofed and bound to credentials based on the context of interactions","Protect","Identity Management, Authentication, and Access Control"
"PR.AA-03","Authentication","Users, services, and hardware are authenticated","Protect","Identity Management, Authentication, and Access Control"
"PR.AA-04","Identity Assertions","Identity assertions are protected, conveyed, and verified","Protect","Identity Management, Authentication, and Access Control"
"PR.AA-05","Access Permissions","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties","Protect","Identity Management, Authentication, and Access Control"
"PR.AA-06","Physical Access","Physical access to assets is managed, monitored, and enforced commensurate with risk","Protect","Identity Management, Authentication, and Access Control"
"PR.AT-01","Security Awareness","Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind","Protect","Awareness and Training"
"PR.AT-02","Privileged User Training","Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind","Protect","Awareness and Training"
"PR.DS-01","Data-at-Rest Protection","The confidentiality, integrity, and availability of data-at-rest are protected","Protect","Data Security"
"PR.DS-02","Data-in-Transit Protection","The confidentiality, integrity, and availability of data-in-transit are protected","Protect","Data Security"
"PR.DS-10","Data-in-Use Protection","The confidentiality, integrity, and availability of data-in-use are protected","Protect","Data Security"
"PR.DS-11","Data Backups","Backups of data are created, protected, maintained, and tested","Protect","Data Security"
"PR.PS-01","Configuration Management","The configuration of organizational systems is established and maintained, incorporating security principles","Protect","Platform Security"
"PR.PS-02","Software Maintenance","Software is maintained, replaced, and removed commensurate with risk","Protect","Platform Security"
"PR.PS-03","Hardware Maintenance","Hardware is maintained, replaced, and removed commensurate with risk","Protect","Platform Security"
"PR.PS-04","Log Management","Log records are generated and made available for continuous monitoring","Protect","Platform Security"
"PR.PS-05","Installation and Execution Controls","Installation and execution of unauthorized software are prevented","Protect","Platform Security"
"PR.PS-06","Secure Development","Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle","Protect","Platform Security"
"PR.IR-01","Network Protection","Networks and environments are protected from unauthorized logical access and usage","Protect","Technology Infrastructure Resilience"
"PR.IR-02","Network Architecture","The organization's technology assets are protected from environmental threats","Protect","Technology Infrastructure Resilience"
"PR.IR-03","Resilience Mechanisms","Mechanisms are implemented to achieve resilience requirements in normal and adverse situations","Protect","Technology Infrastructure Resilience"
"PR.IR-04","Adequate Resource Capacity","Adequate resource capacity to ensure availability is maintained","Protect","Technology Infrastructure Resilience"
"DE.CM-01","Network Monitoring","Networks and network services are monitored to find potentially adverse events","Detect","Continuous Monitoring"
"DE.CM-02","Physical Environment Monitoring","The physical environment is monitored to find potentially adverse events","Detect","Continuous Monitoring"
"DE.CM-03","Personnel Activity Monitoring","Personnel activity and technology usage are monitored to find potentially adverse events","Detect","Continuous Monitoring"
"DE.CM-06","External Service Provider Monitoring","External service provider activities and services are monitored to find potentially adverse events","Detect","Continuous Monitoring"
"DE.CM-09","Computing Hardware and Software Monitoring","Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events","Detect","Continuous Monitoring"
"DE.AE-02","Event Correlation","Potentially adverse events are analyzed to better understand associated activities","Detect","Adverse Event Analysis"
"DE.AE-03","Event Aggregation","Information is correlated from multiple sources","Detect","Adverse Event Analysis"
"DE.AE-04","Impact Estimation","The estimated impact and scope of adverse events are understood","Detect","Adverse Event Analysis"
"DE.AE-06","Event Notification","Information on adverse events is provided to authorized staff and tools","Detect","Adverse Event Analysis"
"DE.AE-07","Cyber Threat Intelligence Integration","Cyber threat intelligence and other contextual information are integrated into the analysis","Detect","Adverse Event Analysis"
"DE.AE-08","Incident Declaration","Incidents are declared when adverse events meet the defined incident criteria","Detect","Adverse Event Analysis"
"RS.MA-01","Incident Response Plan Execution","The incident response plan is executed in coordination with relevant third parties once an incident is declared","Respond","Incident Management"
