"ControlId","Title","Description","Family","Notes"
"1.1","Network Security Controls Defined","Establish processes and mechanisms for managing network security controls","Build and Maintain a Secure Network",""
"1.2","Network Security Controls Configured","Configure and maintain network security controls to restrict traffic appropriately","Build and Maintain a Secure Network",""
"1.3","Network Access Restricted","Restrict network access to and from the cardholder data environment","Build and Maintain a Secure Network",""
"1.4","Network Connections Monitored","Monitor and control connections between trusted and untrusted networks","Build and Maintain a Secure Network",""
"1.5","Risks from Untrusted Networks Mitigated","Ensure risks to the CDE from computing devices connecting via untrusted networks are mitigated","Build and Maintain a Secure Network",""
"2.1","Secure Configuration Processes Defined","Establish processes for applying secure configurations to all system components","Build and Maintain a Secure Network",""
"2.2","System Components Configured Securely","Apply vendor security patches and harden default configurations on all components","Build and Maintain a Secure Network",""
"2.3","Wireless Environments Configured Securely","Secure wireless environments connected to or affecting the cardholder data environment","Build and Maintain a Secure Network",""
"3.1","Stored Data Protection Defined","Establish processes for protecting stored account data","Protect Account Data",""
"3.2","Account Data Storage Minimized","Limit storage of account data to what is necessary for business needs","Protect Account Data",""
"3.3","SAD Not Stored After Authorization","Ensure sensitive authentication data is not retained after transaction authorization","Protect Account Data",""
"3.4","PAN Display Restricted","Restrict access to displays of full primary account numbers","Protect Account Data",""
"3.5","PAN Secured Where Stored","Render primary account numbers unreadable anywhere they are stored","Protect Account Data",""
"3.6","Cryptographic Keys Managed","Establish key management processes for cryptographic keys protecting stored data","Protect Account Data",""
"3.7","Cryptography for Stored Data Managed","Manage all aspects of cryptography used to protect stored account data","Protect Account Data",""
"4.1","Data-in-Transit Protection Defined","Establish processes for protecting cardholder data during transmission","Protect Account Data",""
"4.2","PAN Protected in Transit","Use strong cryptography when transmitting cardholder data over open public networks","Protect Account Data",""
"5.1","Malware Protection Processes Defined","Establish processes for protecting all systems and networks from malicious software","Vulnerability Management",""
"5.2","Malware Prevented or Detected","Deploy anti-malware solutions on all systems commonly affected by malicious software","Vulnerability Management",""
