"ControlId","Title","Description","Family","Notes"
"MS.AAD.1.1v1","Legacy authentication SHALL be blocked","Block legacy authentication to prevent older less secure authentication protocols","Entra ID","CM-7"
"MS.AAD.2.1v1","Users detected as high risk SHALL be blocked","Block users identified as high risk by Identity Protection","Entra ID","AC-2(12), AC-2(13)"
"MS.AAD.2.2v1","A notification SHOULD be sent to the administrator when high-risk users are detected","Send notification to administrator when Identity Protection detects high-risk users","Entra ID","AC-2(12)"
"MS.AAD.2.3v1","Sign-ins detected as high risk SHALL be blocked","Block sign-ins identified as high risk by Identity Protection","Entra ID","AC-2(12), AC-2(13)"
"MS.AAD.3.1v1","Phishing-resistant MFA SHALL be enforced for all users","Enforce phishing-resistant multifactor authentication for all users","Entra ID","IA-2(1), IA-2(2), IA-5c, IA-5g, IA-2(8)"
"MS.AAD.3.2v1","If phishing-resistant MFA has not been enforced an alternative MFA method SHALL be enforced for all users","Enforce alternative MFA method if phishing-resistant MFA is not yet deployed","Entra ID","IA-2(1), IA-2(2)"
"MS.AAD.3.3v2","If Microsoft Authenticator is enabled it SHALL be configured to show login context information","Configure Microsoft Authenticator to display login context such as application name and location","Entra ID","IA-2(1), IA-2(2), IA-5c, IA-5g, IA-2(8), IA-2(13)"
"MS.AAD.3.4v1","The Authentication Methods Manage Migration feature SHALL be set to Migration Complete","Set Authentication Methods migration to Migration Complete to use modern auth methods policy","Entra ID","CM-7"
"MS.AAD.3.5v2","The authentication methods SMS Voice Call and Email OTP SHALL be disabled","Disable SMS Voice Call and Email One-Time Passcode authentication methods","Entra ID","CM-7b, IA-5c"
"MS.AAD.3.6v1","Phishing-resistant MFA SHALL be required for highly privileged roles","Require phishing-resistant MFA for users with highly privileged directory roles","Entra ID","IA-2(1), IA-5c, IA-5g, IA-2(8)"
"MS.AAD.3.7v1","Managed devices SHOULD be required for authentication","Require managed devices as a condition for authentication via conditional access","Entra ID","AC-20b, IA-3"
"MS.AAD.3.8v1","Managed Devices SHOULD be required to register MFA","Require managed devices for MFA registration to prevent adversary device registration","Entra ID","AC-20b, IA-3"
"MS.AAD.3.9v1","Device code authentication SHOULD be blocked","Block device code authentication flow to reduce phishing risk","Entra ID","CM-7"
"MS.AAD.4.1v1","Security logs SHALL be sent to the agency security operations center for monitoring","Send Entra ID security logs to SIEM or SOC for centralized monitoring","Entra ID","AU-4"
"MS.AAD.5.1v1","Only administrators SHALL be allowed to register applications","Restrict application registration to administrators only","Entra ID","AC-6(10), CM-5"
"MS.AAD.5.2v1","Only administrators SHALL be allowed to consent to applications","Restrict application consent to administrators only","Entra ID","AC-6(10), CM-5"
"MS.AAD.5.3v1","An admin consent workflow SHALL be configured for applications","Configure admin consent workflow so users can request access to apps requiring admin consent","Entra ID","CM-4"
"MS.AAD.6.1v1","User passwords SHALL NOT expire","Set password expiration policy to not expire per NIST 800-63B guidance","Entra ID","IA-5(1)"
"MS.AAD.7.1v1","A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role","Maintain between two and eight Global Administrator role assignments","Entra ID","AC-6(5)"
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator","Use specific administrative roles instead of Global Administrator where possible","Entra ID","AC-5"
"MS.AAD.7.3v1","Privileged users SHALL be provisioned cloud-only accounts separate from on-premises directory","Use cloud-only accounts for privileged roles separate from federated identity providers","Entra ID","AC-6(5)"
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles","Require eligible assignments through PIM instead of permanent active assignments for privileged roles","Entra ID","AC-2"
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system","Use Privileged Access Management for all highly privileged role provisioning","Entra ID","AC-2"
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval","Require approval workflow for Global Administrator role activation in PIM","Entra ID","AC-6(1)"
"MS.AAD.7.7v1","Eligible and active highly privileged role assignments SHALL trigger an alert","Configure alerts for eligible and active highly privileged role assignments","Entra ID","AC-2(1)"
"MS.AAD.7.8v1","User activation of the Global Administrator role SHALL trigger an alert","Alert when a user activates the Global Administrator role","Entra ID","AC-6(9)"
"MS.AAD.7.9v1","User activation of other highly privileged roles SHOULD trigger an alert","Alert when a user activates other highly privileged roles","Entra ID","AC-6(9)"
"MS.AAD.8.1v1","Guest users SHOULD have limited or restricted access to Entra ID directory objects","Restrict guest user access to directory objects and properties","Entra ID","AC-6"
