"ControlId","Title","Description","Family","Notes"
"§164.308(a)(1)(i)","Security Management Process","Implement policies and procedures to prevent detect contain and correct security violations","Administrative Safeguards","Standard"
"§164.308(a)(1)(ii)(A)","Risk Analysis","Conduct an accurate and thorough assessment of potential risks and vulnerabilities to ePHI","Administrative Safeguards","Required"
"§164.308(a)(1)(ii)(B)","Risk Management","Implement security measures to reduce risks and vulnerabilities to a reasonable and appropriate level","Administrative Safeguards","Required"
"§164.308(a)(1)(ii)(C)","Sanction Policy","Apply appropriate sanctions against workforce members who fail to comply with security policies","Administrative Safeguards","Required"
"§164.308(a)(1)(ii)(D)","Information System Activity Review","Implement procedures to regularly review records of information system activity","Administrative Safeguards","Required"
"§164.308(a)(2)","Assigned Security Responsibility","Identify the security official responsible for developing and implementing security policies","Administrative Safeguards","Required"
"§164.308(a)(3)(i)","Workforce Security","Implement policies and procedures to ensure appropriate access to ePHI for workforce members","Administrative Safeguards","Standard"
"§164.308(a)(3)(ii)(A)","Authorization and/or Supervision","Implement procedures for authorizing and supervising workforce members who work with ePHI","Administrative Safeguards","Addressable"
"§164.308(a)(3)(ii)(B)","Workforce Clearance Procedure","Implement procedures to determine that workforce member access is appropriate","Administrative Safeguards","Addressable"
"§164.308(a)(3)(ii)(C)","Termination Procedures","Implement procedures for terminating access to ePHI when employment ends","Administrative Safeguards","Addressable"
"§164.308(a)(4)(i)","Information Access Management","Implement policies and procedures for authorizing access to ePHI","Administrative Safeguards","Standard"
"§164.308(a)(4)(ii)(A)","Isolating Healthcare Clearinghouse Functions","If a clearinghouse is part of a larger organization isolate its ePHI functions","Administrative Safeguards","Required"
"§164.308(a)(4)(ii)(B)","Access Authorization","Implement policies and procedures for granting access to ePHI","Administrative Safeguards","Addressable"
"§164.308(a)(4)(ii)(C)","Access Establishment and Modification","Implement policies and procedures for establishing modifying and terminating access to ePHI","Administrative Safeguards","Addressable"
"§164.308(a)(5)(i)","Security Awareness and Training","Implement a security awareness and training program for all workforce members","Administrative Safeguards","Standard"
"§164.308(a)(5)(ii)(A)","Security Reminders","Implement periodic security updates and reminders","Administrative Safeguards","Addressable"
"§164.308(a)(5)(ii)(B)","Protection from Malicious Software","Implement procedures for guarding against detecting and reporting malicious software","Administrative Safeguards","Addressable"
"§164.308(a)(5)(ii)(C)","Log-in Monitoring","Implement procedures for monitoring log-in attempts and reporting discrepancies","Administrative Safeguards","Addressable"
"§164.308(a)(5)(ii)(D)","Password Management","Implement procedures for creating changing and safeguarding passwords","Administrative Safeguards","Addressable"
"§164.308(a)(6)(i)","Security Incident Procedures","Implement policies and procedures to address security incidents","Administrative Safeguards","Standard"
"§164.308(a)(6)(ii)","Response and Reporting","Identify and respond to suspected or known security incidents and mitigate harmful effects","Administrative Safeguards","Required"
"§164.308(a)(7)(i)","Contingency Plan","Establish policies and procedures for responding to emergencies that damage systems containing ePHI","Administrative Safeguards","Standard"
