"ControlId","Title","Description","Family","Notes"
"3.1.1","Limit system access to authorized users","Limit information system access to authorized users processes acting on behalf of authorized users or devices","Access Control","CMMC Level 2; Basic"
"3.1.2","Limit system access to authorized functions","Limit information system access to the types of transactions and functions that authorized users are permitted to execute","Access Control","CMMC Level 2; Basic"
"3.1.3","Control CUI flow","Control the flow of CUI in accordance with approved authorizations","Access Control","CMMC Level 2; Derived"
"3.1.4","Separate duties of individuals","Separate the duties of individuals to reduce the risk of malevolent activity without collusion","Access Control","CMMC Level 2; Derived"
"3.1.5","Employ least privilege","Employ the principle of least privilege including for specific security functions and privileged accounts","Access Control","CMMC Level 2; Derived"
"3.1.6","Use non-privileged accounts","Use non-privileged accounts or roles when accessing nonsecurity functions","Access Control","CMMC Level 2; Derived"
"3.1.7","Prevent non-privileged users from executing privileged functions","Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs","Access Control","CMMC Level 2; Derived"
"3.1.8","Limit unsuccessful logon attempts","Limit unsuccessful logon attempts","Access Control","CMMC Level 2; Derived"
"3.1.9","Provide privacy and security notices","Provide privacy and security notices consistent with applicable CUI rules","Access Control","CMMC Level 2; Derived"
"3.1.10","Use session lock","Use session lock with pattern-hiding displays to prevent access and viewing of data after period of inactivity","Access Control","CMMC Level 2; Derived"
"3.1.11","Terminate sessions","Terminate (automatically) a user session after a defined condition","Access Control","CMMC Level 2; Derived"
"3.1.12","Monitor and control remote access","Monitor and control remote access sessions","Access Control","CMMC Level 2; Derived"
"3.1.13","Employ cryptographic mechanisms for remote access","Employ cryptographic mechanisms to protect the confidentiality of remote access sessions","Access Control","CMMC Level 2; Derived"
"3.1.14","Route remote access via managed access control points","Route remote access via managed access control points","Access Control","CMMC Level 2; Derived"
"3.1.15","Authorize remote execution","Authorize remote execution of privileged commands and remote access to security-relevant information","Access Control","CMMC Level 2; Derived"
"3.1.16","Authorize wireless access","Authorize wireless access prior to allowing such connections","Access Control","CMMC Level 2; Derived"
"3.1.17","Protect wireless access","Protect wireless access using authentication and encryption","Access Control","CMMC Level 2; Derived"
"3.1.18","Control connection of mobile devices","Control connection of mobile devices","Access Control","CMMC Level 2; Derived"
"3.1.19","Encrypt CUI on mobile devices","Encrypt CUI on mobile devices and mobile computing platforms","Access Control","CMMC Level 2; Derived"
"3.1.20","Verify and control connections to external systems","Verify and control/limit connections to and use of external information systems","Access Control","CMMC Level 2; Derived"
"3.1.21","Limit use of portable storage","Limit use of organizational portable storage devices on external information systems","Access Control","CMMC Level 2; Derived"
"3.1.22","Control CUI posted publicly","Control information posted or processed on publicly accessible information systems","Access Control","CMMC Level 2; Derived"
"3.2.1","Provide security awareness training","Ensure that managers system administrators and users of organizational information systems are made aware of the security risks","Awareness and Training","CMMC Level 2; Basic"
"3.2.2","Train for recognizing and reporting threats","Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties","Awareness and Training","CMMC Level 2; Basic"
"3.2.3","Provide insider threat awareness training","Provide security awareness training on recognizing and reporting potential indicators of insider threat","Awareness and Training","CMMC Level 2; Derived"
"3.3.1","Create system audit records","Create protect and retain information system audit records to enable monitoring analysis investigation and reporting","Audit and Accountability","CMMC Level 2; Basic"
"3.3.2","Ensure actions are traceable","Ensure that the actions of individual information system users can be uniquely traced to those users","Audit and Accountability","CMMC Level 2; Basic"
"3.3.3","Review and update audited events","Review and update audited events","Audit and Accountability","CMMC Level 2; Derived"
"3.3.4","Alert on audit process failure","Alert in the event of an audit process failure","Audit and Accountability","CMMC Level 2; Derived"
"3.3.5","Correlate audit review and reporting","Correlate audit review analysis and reporting processes for investigation and response","Audit and Accountability","CMMC Level 2; Derived"
"3.3.6","Provide audit reduction and report generation","Provide audit reduction and report generation to support on-demand analysis and reporting","Audit and Accountability","CMMC Level 2; Derived"
"3.3.7","Provide system time stamps","Provide a system capability that compares and synchronizes internal system clocks","Audit and Accountability","CMMC Level 2; Derived"
"3.3.8","Protect audit information","Protect audit information and audit tools from unauthorized access modification and deletion","Audit and Accountability","CMMC Level 2; Derived"
"3.3.9","Limit audit log management","Limit management of audit functionality to a subset of privileged users","Audit and Accountability","CMMC Level 2; Derived"
"3.4.1","Establish configuration baselines","Establish and maintain baseline configurations and inventories of organizational information systems","Configuration Management","CMMC Level 2; Basic"
"3.4.2","Establish security configuration settings","Establish and enforce security configuration settings for information technology products","Configuration Management","CMMC Level 2; Basic"
"3.4.3","Track and manage changes","Track review approve/disapprove and audit changes to information systems","Configuration Management","CMMC Level 2; Derived"
"3.4.4","Analyze security impact of changes","Analyze the security impact of changes prior to implementation","Configuration Management","CMMC Level 2; Derived"
"3.4.5","Define and enforce access restrictions for change","Define document approve and enforce physical and logical access restrictions associated with changes","Configuration Management","CMMC Level 2; Derived"
"3.4.6","Employ least functionality","Employ the principle of least functionality by configuring information systems to provide only essential capabilities","Configuration Management","CMMC Level 2; Derived"
"3.4.7","Restrict nonessential functionality","Restrict disable and prevent the use of nonessential programs functions ports protocols and services","Configuration Management","CMMC Level 2; Derived"
"3.4.8","Apply deny-by-exception policy","Apply deny-by-exception (blacklist) policy to prevent the use of unauthorized software","Configuration Management","CMMC Level 2; Derived"
"3.4.9","Control user-installed software","Control and monitor user-installed software","Configuration Management","CMMC Level 2; Derived"
"3.5.1","Identify system users","Identify information system users processes acting on behalf of users or devices","Identification and Authentication","CMMC Level 2; Basic"
"3.5.2","Authenticate users","Authenticate (or verify) the identities of those users processes or devices as a prerequisite to allowing access","Identification and Authentication","CMMC Level 2; Basic"
"3.5.3","Use multifactor authentication","Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts","Identification and Authentication","CMMC Level 2; Derived"
"3.5.4","Employ replay-resistant authentication","Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts","Identification and Authentication","CMMC Level 2; Derived"
"3.5.5","Prevent identifier reuse","Prevent reuse of identifiers for a defined period","Identification and Authentication","CMMC Level 2; Derived"
"3.5.6","Disable identifiers after inactivity","Disable identifiers after a defined period of inactivity","Identification and Authentication","CMMC Level 2; Derived"
"3.5.7","Enforce minimum password complexity","Enforce a minimum password complexity and change of characters when new passwords are created","Identification and Authentication","CMMC Level 2; Derived"
"3.5.8","Prohibit password reuse","Prohibit password reuse for a specified number of generations","Identification and Authentication","CMMC Level 2; Derived"
"3.5.9","Allow temporary passwords","Allow temporary password use for system logons with an immediate change to a permanent password","Identification and Authentication","CMMC Level 2; Derived"
"3.5.10","Store and transmit passwords securely","Store and transmit only cryptographically-protected passwords","Identification and Authentication","CMMC Level 2; Derived"
"3.5.11","Obscure feedback of authentication information","Obscure feedback of authentication information","Identification and Authentication","CMMC Level 2; Derived"
"3.6.1","Establish incident handling capability","Establish an operational incident-handling capability for organizational information systems","Incident Response","CMMC Level 2; Derived"
"3.6.2","Track and report incidents","Track document and report incidents to appropriate officials","Incident Response","CMMC Level 2; Derived"
"3.6.3","Test incident response capability","Test the organizational incident response capability","Incident Response","CMMC Level 2; Derived"
"3.7.1","Perform system maintenance","Perform maintenance on organizational information systems","Maintenance","CMMC Level 2; Derived"
"3.7.2","Control system maintenance tools","Provide effective controls on the tools techniques mechanisms and personnel used to conduct system maintenance","Maintenance","CMMC Level 2; Derived"
"3.7.3","Ensure off-site equipment sanitized","Ensure equipment removed for off-site maintenance is sanitized of any CUI","Maintenance","CMMC Level 2; Derived"
"3.7.4","Check media for malicious code","Check media containing diagnostic and test programs for malicious code before use","Maintenance","CMMC Level 2; Derived"
"3.7.5","Require multifactor auth for remote maintenance","Require multifactor authentication to establish nonlocal maintenance sessions and terminate when complete","Maintenance","CMMC Level 2; Derived"
"3.7.6","Supervise maintenance activities","Supervise the maintenance activities of maintenance personnel without required access authorization","Maintenance","CMMC Level 2; Derived"
"3.8.1","Protect system media","Protect (i.e. physically control and securely store) information system media containing CUI","Media Protection","CMMC Level 2; Derived"
"3.8.2","Limit access to CUI on system media","Limit access to CUI on information system media to authorized users","Media Protection","CMMC Level 2; Derived"
"3.8.3","Sanitize or destroy media before disposal","Sanitize or destroy information system media containing CUI before disposal or release for reuse","Media Protection","CMMC Level 2; Basic"
"3.8.4","Mark media with CUI markings","Mark media with necessary CUI markings and distribution limitations","Media Protection","CMMC Level 2; Derived"
"3.8.5","Control access to media during transport","Control access to media containing CUI and maintain accountability during transport outside of controlled areas","Media Protection","CMMC Level 2; Derived"
"3.8.6","Implement cryptographic mechanisms during transport","Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport","Media Protection","CMMC Level 2; Derived"
"3.8.7","Control removable media","Control the use of removable media on information system components","Media Protection","CMMC Level 2; Derived"
"3.8.8","Prohibit portable storage without owner","Prohibit the use of portable storage devices when such devices have no identifiable owner","Media Protection","CMMC Level 2; Derived"
"3.8.9","Protect backup CUI","Protect the confidentiality of backup CUI at storage locations","Media Protection","CMMC Level 2; Derived"
"3.9.1","Screen individuals","Screen individuals prior to authorizing access to information systems containing CUI","Personnel Security","CMMC Level 2; Basic"
"3.9.2","Protect CUI during personnel actions","Ensure that CUI and information systems containing CUI are protected during and after personnel actions such as terminations and transfers","Personnel Security","CMMC Level 2; Basic"
"3.10.1","Limit physical access","Limit physical access to organizational information systems equipment and the respective operating environments to authorized individuals","Physical Protection","CMMC Level 2; Basic"
"3.10.2","Protect physical facility","Protect and monitor the physical facility and support infrastructure for those information systems","Physical Protection","CMMC Level 2; Basic"
"3.10.3","Escort visitors","Escort visitors and monitor visitor activity","Physical Protection","CMMC Level 2; Derived"
"3.10.4","Maintain audit logs of physical access","Maintain audit logs of physical access","Physical Protection","CMMC Level 2; Derived"
"3.10.5","Control physical access devices","Control and manage physical access devices","Physical Protection","CMMC Level 2; Derived"
"3.10.6","Enforce safeguarding at alternate work sites","Enforce safeguarding measures for CUI at alternate work sites","Physical Protection","CMMC Level 2; Derived"
"3.11.1","Periodically assess risk","Periodically assess the risk to organizational operations and assets individuals and other organizations","Risk Assessment","CMMC Level 2; Basic"
"3.11.2","Scan for vulnerabilities","Scan for vulnerabilities in organizational information systems and applications periodically and when new vulnerabilities are identified","Risk Assessment","CMMC Level 2; Derived"
"3.11.3","Remediate vulnerabilities","Remediate vulnerabilities in accordance with assessments of risk","Risk Assessment","CMMC Level 2; Derived"
"3.12.1","Assess security controls","Periodically assess the security controls in organizational information systems to determine if controls are effective","Security Assessment","CMMC Level 2; Derived"
"3.12.2","Develop and implement plans of action","Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities","Security Assessment","CMMC Level 2; Derived"
"3.12.3","Monitor security controls continuously","Monitor information system security controls on an ongoing basis to ensure continued effectiveness","Security Assessment","CMMC Level 2; Derived"
"3.12.4","Develop system security plans","Develop implement and maintain system security plans that describe boundaries environments of operation and how requirements are implemented","Security Assessment","CMMC Level 2; Derived"
"3.13.1","Monitor communications at boundaries","Monitor control and protect organizational communications at external boundaries and key internal boundaries","System and Communications Protection","CMMC Level 2; Basic"
"3.13.2","Employ architectural designs","Employ architectural designs software development techniques and systems engineering principles that promote effective information security","System and Communications Protection","CMMC Level 2; Derived"
"3.13.3","Separate user from management functionality","Separate user functionality from information system management functionality","System and Communications Protection","CMMC Level 2; Derived"
"3.13.4","Prevent unauthorized transfer","Prevent unauthorized and unintended information transfer via shared system resources","System and Communications Protection","CMMC Level 2; Derived"
"3.13.5","Implement subnetworks","Implement subnetworks for publicly accessible system components that are physically or logically separated","System and Communications Protection","CMMC Level 2; Derived"
"3.13.6","Deny network traffic by default","Deny network communications traffic by default and allow by exception","System and Communications Protection","CMMC Level 2; Derived"
"3.13.7","Prevent remote devices from split tunneling","Prevent remote devices from simultaneously establishing non-remote connections and connections to external networks","System and Communications Protection","CMMC Level 2; Derived"
"3.13.8","Implement cryptographic mechanisms","Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission","System and Communications Protection","CMMC Level 2; Derived"
"3.13.9","Terminate network connections","Terminate network connections associated with communications sessions at the end of the sessions or after defined period of inactivity","System and Communications Protection","CMMC Level 2; Derived"
